20120101;3;2;2;53167;6380;46787;14036;8188;18996;5567;79;F1
20120201;3;1;10;62426;18104;44322;13297;9308;12720;8997;91;F2
20120301;2;5;9;7462;1866;5596;1343;1701;2212;340;41;F3
20120401;3;5;8;14781;4434;10347;2069;2566;4967;745;39;F4
20120501;5;1;9;45323;1360;43963;15827;8159;15475;4502;61;F5
20120601;1;10;4;49764;14432;35332;11660;9469;12309;1894;87;F6
20120701;1;2;2;9176;2753;6423;1670;1568;2472;713;31;F7
20120801;2;3;4;18864;4527;14337;5018;3541;4939;839;48;F8
20120901;2;7;9;48393;3871;44522;12466;11220;18592;2244;57;F9
20121001;2;6;5;10368;1348;9020;3157;1818;3283;762;54;F10
20121101;3;2;3;24960;5741;19219;4805;4612;8504;1298;78;F11
20121201;1;4;10;16275;3743;12532;3634;3470;4894;534;75;F12
20130101;4;10;10;11640;2910;8730;2706;2048;2651;1325;60;F13
20130201;2;9;9;26350;5797;20553;5960;4378;8610;1605;62;F14
20130301;4;8;4;63540;2542;60998;16469;17366;18702;8461;90;F15
20130401;3;4;2;43335;1300;42035;9668;10681;13270;8416;81;F16
20130501;1;10;10;57378;10328;47050;17879;11085;11668;6418;73;F17
20130601;1;6;5;63495;15239;48256;11581;11003;17237;8435;85;F18
20130701;1;2;5;34584;5188;29396;9995;5432;10477;3492;44;F19
20130801;1;4;9;68992;14488;54504;17441;14084;18902;4077;98;F20
20130901;3;8;10;41118;11513;29605;8289;7034;10871;3411;89;F21
20131001;2;1;9;20646;3097;17549;4387;4080;6844;2238;93;F22
20131101;5;5;4;34605;9689;24916;4983;6179;10963;2791;45;F23
20131201;3;1;2;21756;1740;20016;4404;6089;7494;2029;74;F24
20120101;2;7;6;74480;21599;52881;15864;9995;18509;8513;98;F1
20120201;3;4;1;4816;482;4334;1474;944;1344;572;43;F2
20120301;2;5;2;7290;1968;5322;1331;1038;2315;638;54;F3
20120401;4;8;7;20609;3710;16899;5070;4140;6388;1301;37;F4
20120501;4;6;9;11242;675;10567;4015;2097;2817;1638;77;F5
20120601;5;1;2;14134;3109;11025;2536;2632;3905;1952;74;F6
20120701;1;9;9;23400;936;22464;8536;3621;8218;2089;65;F7
20120801;1;1;9;21510;4087;17423;3485;5575;6690;1673;30;F8
20120901;1;5;6;4633;1205;3428;720;758;1273;677;41;F9
20121001;5;4;8;15525;3571;11954;2510;3683;3778;1983;45;F10
20121101;3;7;10;10270;1130;9140;3108;2172;3137;723;79;F11
20121201;2;9;8;21996;1980;20016;4604;4932;7860;2620;94;F12
20130101;1;7;5;16672;2668;14004;4481;2571;5523;1429;32;F13
20130201;1;3;7;27550;5510;22040;4408;6524;10403;705;50;F14
20130301;2;10;4;16032;4168;11864;2847;2615;3607;2795;96;F15
20130401;4;3;5;35223;2466;32757;8844;6457;11000;6456;59;F16
20130501;2;10;8;14892;298;14594;3065;3459;5303;2767;34;F17
20130601;4;7;6;25280;5056;20224;4652;6229;7007;2336;32;F18
20130701;1;10;5;8540;769;7771;1554;1865;3171;1181;70;F19
20130801;1;6;5;9440;2549;6891;1792;1836;2600;663;59;F20
20130901;1;4;5;42784;3851;38933;13237;9508;13362;2826;56;F21
20131001;1;7;1;47971;7675;40296;10477;11033;13717;5069;89;F22
20131101;4;3;4;56238;14622;41616;14149;8789;11811;6867;78;F23
20131201;5;5;1;52650;15795;36855;10319;10614;13268;2654;65;F24
20120101;5;7;8;14880;446;14434;5485;3401;3580;1968;80;F1
20120201;4;9;2;19396;776;18620;4096;5083;8714;727;52;F2
20120301;3;5;10;30083;8122;21961;7686;3854;6709;3712;67;F3
20120401;4;9;10;29754;8629;21125;5704;6168;8636;617;38;F4
20120501;5;8;10;38700;2322;36378;12005;6093;10724;7556;100;F5
20120601;4;9;6;30153;1508;28645;8880;6127;7906;5732;57;F6
20120701;1;5;5;20124;5836;14288;4715;2393;5361;1819;52;F7
20120801;5;6;4;28853;866;27987;5597;8956;12762;672;43;F8
20120901;2;10;8;69275;18704;50571;16688;12198;14231;7454;85;F9
20121001;5;8;5;53546;3213;50333;12583;12458;16988;8304;82;F10
20121101;1;10;2;24941;6485;18456;3876;5540;5832;3208;49;F11
20121201;4;5;7;38168;3817;34351;13053;7028;9797;4473;52;F12
20130101;5;1;3;29991;6298;23693;7345;5558;7030;3760;39;F13
20130201;1;5;10;59250;9480;49770;14931;9407;18465;6967;79;F14
20130301;1;9;10;79584;3979;75605;27218;12581;27581;8225;96;F15
20130401;5;5;7;78678;22030;56648;19827;11783;14728;10310;93;F16
20130501;3;7;3;33652;4711;28941;8972;5791;11782;2396;47;F17
20130601;1;9;4;21280;2128;19152;7086;3378;5309;3379;76;F18
20130701;3;7;6;5865;528;5337;1708;1198;1996;435;51;F19
20130801;5;8;6;35730;10004;25726;8232;6473;9447;1574;45;F20
20130901;4;7;6;13846;4154;9692;2520;2223;2869;2080;43;F21
20131001;2;9;5;8362;2091;6271;1505;1811;2192;763;37;F22
20131101;2;5;3;37804;7183;30621;9799;6455;9578;4789;52;F23
20131201;5;8;9;49329;5919;43410;15194;8183;16930;3103;81;F24
20120101;2;3;8;22176;3105;19071;4577;3624;8407;2463;84;F1
20120201;3;10;8;48683;8763;39920;15170;8415;10643;5692;89;F2
20120301;1;3;6;36096;10468;25628;5126;5946;10456;4100;96;F3
20120401;1;2;6;35604;712;34892;6978;9212;16748;1954;46;F4
20120501;3;2;7;33795;8787;25008;5502;6827;9753;2926;45;F5
20120601;4;10;5;45747;11437;34310;13038;5531;12338;3403;69;F6
20120701;5;9;5;27199;2176;25023;5255;6721;10675;2372;59;F7
20120801;4;8;1;30912;5564;25348;9379;4152;9102;2715;56;F8
20120901;5;10;2;32078;5453;26625;8254;7348;7532;3491;86;F9
20121001;5;10;4;27008;2701;24307;7292;4934;6976;5105;64;F10
20121101;3;5;10;31084;8082;23002;4600;5705;10121;2576;76;F11
20121201;3;10;2;26810;3485;23325;4665;5038;9703;3919;70;F12
20130101;2;2;8;8575;943;7632;1908;1832;3148;744;49;F13
20130201;2;9;9;61916;9287;52629;17894;11115;19799;3821;92;F14
20130301;3;2;2;12792;2175;10617;3610;2663;3013;1331;41;F15
20130401;4;1;5;36525;2922;33603;10417;7188;12984;3014;75;F16
20130501;5;3;4;47160;2830;44330;13299;12412;18308;311;90;F17
20130601;5;1;9;32234;8059;24175;5077;4775;10886;3437;71;F18
20130701;1;5;9;19239;2309;16930;4063;4246;6691;1930;53;F19
20130801;5;8;8;13740;3572;10168;3457;1879;3758;1074;60;F20
20130901;3;9;6;25488;4588;20900;5434;6186;8042;1238;36;F21
20131001;1;2;7;23349;1634;21715;7600;4093;5787;4235;43;F22
20131101;5;6;10;47227;12751;34476;12411;5958;10591;5516;83;F23
20131201;5;9;7;22833;1598;21235;6371;4013;8918;1933;43;F24
20120101;2;8;7;34104;3410;30694;9208;5586;9454;6446;87;F1
20120201;1;4;5;30536;5191;25345;9631;6286;6443;2985;44;F2
20120301;3;8;8;9471;758;8713;2875;2160;3153;525;33;F3
20120401;2;3;3;34584;7954;26630;6658;4993;9786;5193;88;F4
